company:pbs	acquired	televisionstation:wha
televisionstation:kuid_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wqpt_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wkzt_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kbme_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kuas_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wkas	subpart_of_organization	televisionnetwork:pbs
televisionstation:ketg	subpart_of_organization	televisionnetwork:pbs
televisionstation:wfpt	subpart_of_organization	televisionnetwork:pbs
televisionstation:wunm_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kaft	subpart_of_organization	televisionnetwork:pbs
televisionstation:wdcq_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wlef_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:klpa_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wnjt	subpart_of_organization	televisionnetwork:pbs
televisionstation:wkha	subpart_of_organization	televisionnetwork:pbs
televisionstation:wouc_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kcge_dt	subpart_of_organization	televisionnetwork:pbs
televisionstation:kmne_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kocv_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:ktci_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kpsd_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kmos_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kdck	subpart_of_organization	televisionnetwork:pbs
televisionstation:wiiq	subpart_of_organization	televisionnetwork:pbs
televisionstation:wlvt_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wpba	subpart_of_organization	televisionnetwork:pbs
televisionstation:ksmq_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wkno_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wviz_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wkmr	subpart_of_organization	televisionnetwork:pbs
televisionstation:wmec	subpart_of_organization	televisionnetwork:pbs
televisionstation:wkma	subpart_of_organization	televisionnetwork:pbs
televisionstation:wetp_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:krma_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wtiu_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wkle	subpart_of_organization	televisionnetwork:pbs
televisionstation:kcka	subpart_of_organization	televisionnetwork:pbs
televisionstation:wmsy_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wsiu_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wkon	subpart_of_organization	televisionnetwork:pbs
televisionstation:wmeb_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:krne_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wvpy	subpart_of_organization	televisionnetwork:pbs
televisionstation:wjeb_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kpts	subpart_of_organization	televisionnetwork:pbs
televisionstation:wnin_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kixe_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wgbh_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wkoh	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wneo	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wsre	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wgvu_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wnjn	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wxxi_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wfsu_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kuat_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:ksps_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kusd_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kmbh_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wbiq_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wqec	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wnvt	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wlae_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kvie	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wlrn_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wunc_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kfts	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kcsd_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kaet	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:krsc_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wvta	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wyes_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:weiq_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kyve_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wsec	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wjct	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:ktwu	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wmvs_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:witf_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:koac_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wdse_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kdsd_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wosu_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:woub_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kbdi_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wbcc_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wkmu	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kcdt_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:klne_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kbtc_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:klpb_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wmpt	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wkmj_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kyne_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kdin_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wcet	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kbhe_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:ktsd_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wswp_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wxel_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wunp_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:knme_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kvcr_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kawb	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kcwc_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kepb_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:ksre	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:krwg_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kswk	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wpby_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wkop_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wekw_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kcos_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kets_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wgpt	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wmav_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:kesd_tv	television_station_affiliated_with	televisionnetwork:pbs
televisionstation:wnit_tv	television_station_affiliated_with	televisionnetwork:pbs
personus:pat_mitchell	top_member_of_organization	company:pbs
