academicfield:news	academic_program_at_university	university:college
mammal:predators	animal_is_type_of_animal	insect:wasps
mammal:animals	animal_is_type_of_animal	mammal:cougars
bird:waterfowl	animal_is_type_of_animal	bird:waterbirds
vertebrate:ruminants	animal_is_type_of_animal	agriculturalproduct:goats
mammal:animals	animal_is_type_of_animal	mammal:hogs
invertebrate:corals	animal_is_type_of_animal	animal:invertebrates
animal:hippopotamuses	animal_is_type_of_animal	mammal:animals
mammal:animals	animal_is_type_of_animal	animal:children
crustacean:copepods	animal_is_type_of_animal	animal:invertebrates
animal:orangutans	animal_is_type_of_animal	mammal:apes
animal:wildebeests	animal_is_type_of_animal	mammal:animals
mammal:animals	animal_is_type_of_animal	mammal:small_dogs
mammal:lambs	animal_is_type_of_animal	mammal:animals
mammal:apes	animal_is_type_of_animal	mammal:animals
vertebrate:crayfish	animal_is_type_of_animal	invertebrate:crustaceans
mammal:animals	animal_is_type_of_animal	animal:bulls
mammal:wolves	animal_is_type_of_animal	animal:carnivores
mammal:animals	animal_is_type_of_animal	mammal:rats
mammal:chimps	animal_is_type_of_animal	mammal:animals
invertebrate:octopuses	animal_is_type_of_animal	animal:animals001
crustacean:shrimp	animal_is_type_of_animal	animal:animals001
animal:stoats	animal_is_type_of_animal	mammal:predators
mammal:elk	animal_is_type_of_animal	mammal:large_mammals
mammal:kittens	animal_is_type_of_animal	mammal:animals
mammal:rats	animal_is_type_of_animal	mammal:laboratory_animals
bird:raptors	animal_is_type_of_animal	mammal:animals
mammal:small_animals	animal_is_type_of_animal	mammal:mice
mammal:hippos	animal_is_type_of_animal	mammal:animals
vertebrate:skunks	animal_is_type_of_animal	mammal:wild_animals
mammal:predators	animal_is_type_of_animal	insect:lacewings
vertebrate:black_bears	animal_is_type_of_animal	mammal:animals
mammal:animals	animal_is_type_of_animal	mammal:baboons
fish:whale_sharks	animal_is_type_of_animal	fish:pelagics
mammal:chimps	animal_is_type_of_animal	mammal:apes
mammal:animals	animal_is_type_of_animal	animal:roosters
mammal:predators	animal_is_type_of_animal	mammal:animals
mammal:squirrels	animal_is_type_of_animal	insect:pests
mammal:big_cats	animal_is_type_of_animal	mammal:animals
mammal:animals	animal_is_type_of_animal	mammal:antelopes
arachnid:brown_recluse	animal_is_type_of_animal	arthropod:spider_bite
mammal:lions	animal_is_type_of_animal	mammal:big_cats
mammal:donkeys	animal_is_type_of_animal	mammal:equines
invertebrate:cranes	animal_is_type_of_animal	animal:animals001
mammal:animals	animal_is_type_of_animal	mammal:bison
mammal:hogs	animal_is_type_of_animal	mammal:animals
reptile:stock	animal_is_type_of_animal	agriculturalproduct:goats
invertebrate:infusoria	animal_is_type_of_animal	crustacean:shrimp
mammal:elk	animal_is_type_of_animal	animal:big_game
mammal:muskrats	animal_is_type_of_animal	mammal:animals
mammal:wolves	animal_is_type_of_animal	animal:large_predators
mammal:animals	animal_is_type_of_animal	mammal:canines
arachnid:butterflies	animal_is_type_of_animal	animal:animals001
insect:small_rodents	animal_is_type_of_animal	mammal:rats
animal:animals001	animal_is_type_of_animal	insect:insects
agriculturalproduct:goats	animal_is_type_of_animal	mammal:animals
mammal:animals	animal_is_type_of_animal	mammal:beavers
mammal:chipmunks	animal_is_type_of_animal	mammal:animals
invertebrate:cranes	animal_is_type_of_animal	animal:birds003
invertebrate:spider	animal_is_type_of_animal	arthropod:recluse
mammal:donkeys	animal_is_type_of_animal	mammal:farm_animals
invertebrate:possums	animal_is_type_of_animal	insect:pests
mammal:wolverines	animal_is_type_of_animal	mammal:animals
vertebrate:skunks	animal_is_type_of_animal	mammal:animals
insect:small_rodents	animal_is_type_of_animal	arthropod:prey
invertebrate:cattle	animal_is_type_of_animal	animal:animals001
mammal:wild_boars	animal_is_type_of_animal	mammal:animals
fish:swordfish	animal_is_type_of_animal	fish:tunas
mammal:yaks	animal_is_type_of_animal	mammal:animals
mammal:gazelles	animal_is_type_of_animal	mammal:animals
mammal:lions	animal_is_type_of_animal	animal:carnivores
mammal:predators	animal_is_type_of_animal	mammal:rats
animal:hyenas	animal_is_type_of_animal	animal:scavengers
invertebrate:wildebeest	animal_is_type_of_animal	animal:animals001
mammal:sheep	animal_is_type_of_animal	mammal:animals
mammal:felines	animal_is_type_of_animal	mammal:cat
mammal:laboratory_animals	animal_is_type_of_animal	mammal:animals
invertebrate:cattle	animal_is_type_of_animal	animal:large_animals
mammal:great_apes	animal_is_type_of_animal	mammal:animals
mammal:elk	animal_is_type_of_animal	animal:ungulates
animal:carnivores	animal_is_type_of_animal	mammal:wolves
mollusk:vermin	animal_is_type_of_animal	animal:animals001
invertebrate:crustaceans	animal_is_type_of_animal	animal:invertebrates
bird:pheasants	animal_is_type_of_animal	mammal:animals
animal:animals001	animal_is_type_of_animal	insect:termites
mammal:eland	animal_is_type_of_animal	mammal:antelopes
mammal:zebras	animal_is_type_of_animal	mammal:animals
mammal:donkey	animal_is_type_of_animal	mammal:animals
fish:sharks	animal_is_type_of_animal	fish:fishes
bird:domestic_birds	animal_is_type_of_animal	mammal:animals
mammal:elk	animal_is_type_of_animal	mammal:large_herbivores
fish:sharks	animal_is_type_of_animal	mammal:animals
mammal:animals	animal_is_type_of_animal	vertebrate:ruminants
mammal:elephants	animal_is_type_of_animal	mammal:animals
animal:hyenas	animal_is_type_of_animal	mammal:predators
mammal:cougars	animal_is_type_of_animal	animal:large_predators
mammal:sheep	animal_is_type_of_animal	vertebrate:ruminants
fish:albacore	animal_is_type_of_animal	fish:tunas
mammal:animals	animal_is_type_of_animal	mammal:elephants
mammal:marmots	animal_is_type_of_animal	mammal:animals
mammal:animals	animal_is_type_of_animal	mammal:camels
bird:pheasants	animal_is_type_of_animal	bird:upland_game_birds
bird:herons	animal_is_type_of_animal	bird:shorebirds
mammal:canines	animal_is_type_of_animal	mammal:animals
mammal:animals	animal_is_type_of_animal	mammal:lambs
mammal:predators	animal_is_type_of_animal	mammal:wolves
mammal:elk	animal_is_type_of_animal	mammal:animals
mammal:antelopes	animal_is_type_of_animal	mammal:animals
mammal:sheep	animal_is_type_of_animal	mammal:farm_animals
crustacean:mollusks	animal_is_type_of_animal	animal:animals001
mammal:small_animals	animal_is_type_of_animal	mammal:chipmunks
insect:wasps	animal_is_type_of_animal	animal:animals001
invertebrate:snails	animal_is_type_of_animal	crustacean:mollusks
invertebrate:marine_mammals	animal_is_type_of_animal	animal:animals001
mammal:animals	animal_is_type_of_animal	mammal:chipmunks
mammal:predators	animal_is_type_of_animal	arthropod:spiders
invertebrate:egrets	animal_is_type_of_animal	animal:birds003
mammal:buffalos	animal_is_type_of_animal	mammal:animals
animal:animals001	animal_is_type_of_animal	invertebrate:hedgehogs
mammal:wild_animals	animal_is_type_of_animal	mammal:boars
arthropod:water_fleas	animal_is_type_of_animal	arthropod:zooplankton
mammal:canines	animal_is_type_of_animal	mammal:dog
invertebrate:squids	animal_is_type_of_animal	animal:animals001
mammal:mules	animal_is_type_of_animal	mammal:animals
mammal:farm_animals	animal_is_type_of_animal	mammal:sheep
animal:animals001	animal_is_type_of_animal	animal:moles001
mammal:beavers	animal_is_type_of_animal	mammal:animals
insect:honey_bees	animal_is_type_of_animal	animal:social_insects
mammal:impala	animal_is_type_of_animal	mammal:antelopes
mammal:stray_dogs	animal_is_type_of_animal	mammal:animals
animal:animals001	animal_is_type_of_animal	arachnid:scorpions
mammal:camels	animal_is_type_of_animal	vertebrate:ruminants
mammal:mice	animal_is_type_of_animal	mammal:laboratory_animals
mammal:rats	animal_is_type_of_animal	mammal:lab_animals
mammal:ferrets	animal_is_type_of_animal	mammal:small_animals
mammal:ferrets	animal_is_type_of_animal	mammal:small_pets
mammal:small_animals	animal_is_type_of_animal	mammal:rats
mammal:chimpanzees	animal_is_type_of_animal	mammal:apes
bird:emus	animal_is_type_of_animal	mammal:animals
mammal:sheep	animal_is_type_of_animal	mammal:grazers
mammal:elk	animal_is_type_of_animal	mammal:big_game_animals
animal:scavengers	animal_preys_on	animal:hyenas
mammal:predators	animal_preys_on	animal:ravens
mammal:animals	animal_preys_on	mammal:wombats
mammal:predators	animal_preys_on	bird:herons
mammal:predators	animal_preys_on	mammal:cougars
mammal:predators	animal_preys_on	mammal:wild_dogs
animal:voles001	animal_preys_on	animal:animals001
mammal:animals	animal_preys_on	mammal:ponies
mammal:animals	animal_preys_on	mammal:sloths
mammal:animals	animal_preys_on	vertebrate:ruminants
animal:mantises	animal_preys_on	insect:insects
arthropod:prey	animal_preys_on	animal:deer001
arthropod:prey	animal_preys_on	animal:mice
mammal:rats	animal_preys_on	mollusk:vermin
vertebrate:skunks	animal_preys_on	mammal:predators
mammal:boars	animal_preys_on	mammal:animals
invertebrate:wildebeest	animal_preys_on	animal:animals001
insect:insects	animal_preys_on	arthropod:invertebrates
mammal:animals	animal_preys_on	mammal:llamas
arthropod:pollinators	animal_preys_on	animal:birds003
mammal:animals	animal_preys_on	animal:polar_bears
mammal:weasels	animal_preys_on	mammal:predators
mammal:elk	animal_preys_on	mammal:animals
animal:large_predators	animal_preys_on	mammal:cougars
arthropod:prey	animal_preys_on	bird:kites
mammal:rats	animal_preys_on	arthropod:prey
insect:insects	animal_preys_on	invertebrate:bees
mammal:animals	animal_preys_on	animal:orangutans
mammal:animals	animal_preys_on	fish:sharks
mammal:animals	animal_preys_on	animal:groundhogs
mammal:animals	animal_preys_on	mammal:wolves
arthropod:bloodworm	animal_preys_on	crustacean:shrimp
animal:brown_bears	animal_preys_on	mammal:animals
mammal:small_pets	animal_preys_on	mammal:small_dogs
mammal:animals	animal_preys_on	mammal:fox
animal:animals001	animal_preys_on	invertebrate:cattle
animal:animals001	animal_preys_on	insect:termites
mammal:rats	animal_preys_on	mammal:predators
mammal:animals	animal_preys_on	animal:hippopotamuses
animal:large_predators	animal_preys_on	mammal:mountain_lions
mammal:tigers	animal_preys_on	mammal:wild_animals
crustacean:fleas	animal_preys_on	mollusk:arthropods
mammal:wild_animals	animal_preys_on	mammal:wolves
mammal:wolverines	animal_preys_on	mammal:animals
mammal:hunters	animal_preys_on	mammal:wolves
mammal:animals	animal_preys_on	animal:fowls
animal:animals001	animal_preys_on	arachnid:scorpions
arthropod:arthropods	animal_preys_on	arthropod:spiders
mammal:animals	animal_preys_on	mammal:zebras
mammal:dog	animal_preys_on	mammal:dog_
mammal:chimpanzees	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:wild_boars
mammal:predators	animal_preys_on	animal:cheetahs
insect:pests	animal_preys_on	animal:mice001
mammal:animals	animal_preys_on	mammal:gorillas
insect:insects	animal_preys_on	animal:mice
arthropod:spiders	animal_preys_on	animal:animals001
insect:small_rodents	animal_preys_on	mammal:rats
insect:beetle_larvae	animal_preys_on	insect:insects
mammal:puppies	animal_preys_on	mammal:animals
mammal:rats	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:equines
mammal:felines	animal_preys_on	mammal:cat
animal:greyhounds	animal_preys_on	mammal:animals
mammal:mountain_lions	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:mountain_lions
mammal:animals	animal_preys_on	mammal:alpacas
mammal:predators	animal_preys_on	mammal:mice
arthropod:roaches	animal_preys_on	insect:insects
mammal:animals	animal_preys_on	mammal:wallabies
mammal:equines	animal_preys_on	mammal:animals
mammal:dog_	animal_preys_on	mammal:dog
mammal:animals	animal_preys_on	bird:domestic_birds
invertebrate:nymphs	animal_preys_on	insect:insects
arthropod:pollinators	animal_preys_on	insect:moths
mammal:baboons	animal_preys_on	mammal:animals
mammal:wild_animals	animal_preys_on	mammal:tigers
crustacean:mysis_shrimp	animal_preys_on	crustacean:shrimp
reptile:stock	animal_preys_on	agriculturalproduct:goats
mammal:animals	animal_preys_on	mammal:rats
animal:hyenas	animal_preys_on	animal:scavengers
mammal:laboratory_animals	animal_preys_on	mammal:mice
insect:honeybees	animal_preys_on	invertebrate:bees
insect:small_rodents	animal_preys_on	animal:mice001
mammal:animals	animal_preys_on	mammal:domestic_pets
insect:fungus_gnats	animal_preys_on	insect:insects
bird:herons	animal_preys_on	mammal:predators
animal:moles001	animal_preys_on	animal:animals001
mammal:dairy_cows	animal_preys_on	mammal:animals
insect:leafminers	animal_preys_on	insect:pests
mammal:animals	animal_preys_on	mammal:boars
mammal:predators	animal_preys_on	animal:hyenas
mammal:animals	animal_preys_on	mammal:rhinoceroses
mammal:canines	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:small_dogs
mammal:animals	animal_preys_on	mammal:sheep_
invertebrate:infusoria	animal_preys_on	crustacean:shrimp
mammal:wombats	animal_preys_on	mammal:animals
animal:animals001	animal_preys_on	fish:otter
animal:hyenas	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:kittens
animal:large_animals	animal_preys_on	mammal:elk
mammal:animals	animal_preys_on	mammal:ferrets
insect:raccoon	animal_preys_on	animal:animals001
mammal:animals	animal_preys_on	animal:field_mice
mammal:rats	animal_preys_on	mammal:laboratory_animals
mammal:farm_animals	animal_preys_on	mammal:sheep
vertebrate:dinosaurs	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:antelopes
animal:animals001	animal_preys_on	invertebrate:wildebeest
mammal:chinchillas	animal_preys_on	mammal:animals
mollusk:arthropods	animal_preys_on	crustacean:fleas
mammal:animals	animal_preys_on	mammal:horse
animal:large_animals	animal_preys_on	invertebrate:cattle
animal:children	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:buffalos
mammal:animals	animal_preys_on	mammal:elk
mammal:animals	animal_preys_on	mammal:wild_animals
insect:wasps	animal_preys_on	insect:insects
mammal:predators	animal_preys_on	mammal:possums
mammal:farm_animals	animal_preys_on	agriculturalproduct:goats
mammal:apes	animal_preys_on	mammal:animals
mammal:small_animals	animal_preys_on	mammal:mice
mammal:animals	animal_preys_on	vertebrate:crayfish
arachnid:butterflies	animal_preys_on	animal:animals001
mammal:animals	animal_preys_on	vertebrate:skunks
animal:dolphins001	animal_preys_on	invertebrate:marine_mammals
animal:animals001	animal_preys_on	animal:voles001
mammal:exotic_pets	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:hippos
mammal:predators	animal_preys_on	mammal:wolves
animal:badgers	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:camels
insect:insects	animal_preys_on	arthropod:spiders
mammal:animals	animal_preys_on	animal:brown_bears
animal:house_pets	animal_preys_on	mammal:animals
insect:insects	animal_preys_on	arachnid:scorpions
mammal:kittens	animal_preys_on	mammal:animals
bird:kites	animal_preys_on	arthropod:prey
animal:birds003	animal_preys_on	invertebrate:egrets
arthropod:pollinators	animal_preys_on	invertebrate:bees
animal:nonhuman_primates	animal_preys_on	mammal:animals
mammal:wolves	animal_preys_on	mammal:wild_animals
insect:honey_bees	animal_preys_on	invertebrate:bees
invertebrate:gulls	animal_preys_on	animal:birds003
mammal:mongooses	animal_preys_on	mammal:predators
animal:animals001	animal_preys_on	invertebrate:possums
mammal:sheep_	animal_preys_on	mammal:animals
mammal:small_animals	animal_preys_on	agriculturalproduct:goats
insect:sandflies	animal_preys_on	insect:insects
mammal:reindeer	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	bird:pheasants
animal:hyenas	animal_preys_on	mammal:predators
mammal:animals	animal_preys_on	animal:greyhounds
arthropod:opossums	animal_preys_on	animal:animals001
mammal:cougars	animal_preys_on	mammal:animals
vertebrate:black_bears	animal_preys_on	mammal:animals
animal:lemurs001	animal_preys_on	animal:animals001
mammal:squirrels	animal_preys_on	mammal:animals
animal:cheetahs	animal_preys_on	mammal:predators
mammal:wild_dogs	animal_preys_on	mammal:animals
mammal:canines	animal_preys_on	mammal:dog
mammal:animals	animal_preys_on	mammal:miniature_donkeys
arthropod:cicadas	animal_preys_on	insect:insects
mammal:animals	animal_preys_on	animal:condors
mammal:animals	animal_preys_on	mammal:rhinoceros
mammal:animals	animal_preys_on	animal:cheetahs
mammal:animals	animal_preys_on	mammal:donkey
mammal:animals	animal_preys_on	vertebrate:dinosaurs
mammal:tigers	animal_preys_on	animal:carnivores
arthropod:hornets	animal_preys_on	insect:insects
mammal:lambs	animal_preys_on	mammal:animals
mammal:mountain_lions	animal_preys_on	animal:large_predators
mammal:small_dogs	animal_preys_on	mammal:small_pets
insect:pests	animal_preys_on	animal:deer001
mammal:animals	animal_preys_on	mammal:goat
crustacean:shrimp	animal_preys_on	arthropod:bloodworm
animal:carnivores	animal_preys_on	mammal:tigers
mammal:animals	animal_preys_on	mammal:caribou
mammal:caribou	animal_preys_on	mammal:animals
insect:pests	animal_preys_on	invertebrate:bees
mammal:animals	animal_preys_on	mammal:chipmunks
mammal:animals	animal_preys_on	mammal:bison
mammal:animals	animal_preys_on	mammal:stray_dogs
mammal:squirrels	animal_preys_on	mammal:small_animals
mammal:animals	animal_preys_on	mammal:dairy_cows
mammal:animals	animal_preys_on	mammal:cougars
mammal:predators	animal_preys_on	mammal:lions
mammal:cougars	animal_preys_on	animal:carnivores
mammal:lions	animal_preys_on	animal:carnivores
mammal:cat	animal_preys_on	mammal:felines
arthropod:arthropods	animal_preys_on	arthropod:centipedes
mammal:animals	animal_preys_on	mammal:wild_horses
mammal:animals	animal_preys_on	mammal:mongooses
invertebrate:black_worms	animal_preys_on	crustacean:shrimp
crustacean:krill	animal_preys_on	crustacean:shrimp
animal:seals001	animal_preys_on	animal:animals001
animal:large_animals	animal_preys_on	mammal:elephants
mammal:predators	animal_preys_on	animal:stoats
insect:insects	animal_preys_on	insect:houseflies
insect:insects	animal_preys_on	invertebrate:nymphs
mammal:bobcats	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	animal:peacocks
mammal:animals	animal_preys_on	mammal:chinchillas
mammal:farm_animals	animal_preys_on	mammal:sheep_
vertebrate:ruminants	animal_preys_on	mammal:sheep_
mammal:big_cats	animal_preys_on	mammal:animals
mammal:tigers	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	animal:children
animal:orangutans	animal_preys_on	mammal:animals
mammal:animals	animal_preys_on	mammal:oxen
arthropod:dog	animal_preys_on	animal:pup
mammal:animals	animal_preys_on	mammal:bobcats
animal:animals001	animal_preys_on	arthropod:spiders
mammal:animals	animal_preys_on	animal:hyenas
insect:pests	animal_preys_on	invertebrate:possums
insect:pests	animal_preys_on	mammal:rats
mammal:fox	animal_preys_on	mammal:animals
crustacean:shrimp	animal_preys_on	insect:mosquito_larvae
invertebrate:egrets	animal_preys_on	animal:birds003
bird:raptors	animal_preys_on	mammal:predators
mammal:animals	animal_preys_on	mammal:wolverines
mammal:predators	animal_preys_on	mammal:fox
animal:polar_bears	animal_preys_on	mammal:animals
mammal:elephants	animal_preys_on	mammal:wild_animals
animal:hamsters	animal_preys_on	mammal:small_animals
mammal:animals	animal_preys_on	animal:hamsters
insect:blackflies	animal_preys_on	insect:insects
mammal:animals	animal_preys_on	mammal:prairie_dogs
animal:birds003	animal_preys_on	invertebrate:cranes
insect:hoverflies	animal_preys_on	insect:insects
vertebrate:ruminants	animal_preys_on	agriculturalproduct:goats
arthropod:arthropods	animal_preys_on	arachnid:scorpions
mammal:lions	animal_preys_on	mammal:wild_animals
insect:ants	animal_preys_on	insect:small_insects
invertebrate:cattle	animal_preys_on	animal:animals001
mammal:animals	animal_preys_on	mammal:canines
mammal:animals	animal_preys_on	animal:house_pets
insect:insects	animal_preys_on	mammal:small_animals
mammal:animals	animal_preys_on	mammal:reindeer
mammal:animals	animal_preys_on	vertebrate:koalas
mammal:animals	animal_preys_on	animal:carnivores
crustacean:brine_shrimp	animal_preys_on	crustacean:shrimp
mammal:animals	animal_preys_on	mammal:donkeys
mammal:animals	animal_preys_on	mammal:beavers
mammal:beavers	animal_preys_on	mammal:animals
mammal:prairie_dogs	animal_preys_on	mammal:animals
animal:condors	animal_preys_on	mammal:animals
animal:large_predators	animal_preys_on	mammal:wolves
animal:hamsters	animal_preys_on	mammal:animals
animal:animals001	animal_preys_on	insect:raccoon
mammal:animals	animal_preys_on	reptile:chameleons
mammal:wild_animals	animal_preys_on	mammal:elephants
mammal:lab_animals	animal_preys_on	mammal:rats
mammal:tapirs	animal_preys_on	mammal:animals
insect:mosquito_larvae	animal_preys_on	crustacean:shrimp
animal:seals001	animal_preys_on	invertebrate:marine_mammals
insect:pests	animal_preys_on	insect:bedbugs
mammal:animals	animal_preys_on	mammal:lions
mammal:animals	animal_preys_on	vertebrate:panthers
mammal:predators	animal_preys_on	mammal:tigers
mammal:horse	animal_preys_on	mammal:animals
mollusk:vermin	animal_preys_on	animal:mice001
insect:ladybirds	animal_preys_on	insect:insects
fish:tunas	animal_preys_on	fish:yellowfin
mammal:wild_animals	animal_preys_on	mammal:lions
insect:insects	animal_preys_on	arthropod:prey
animal:carnivores	animal_preys_on	animal:hyenas
insect:pests	animal_preys_on	arthropod:spiders
insect:house_flies	animal_preys_on	insect:insects
mammal:jaguars	animal_preys_on	mammal:predators
crustacean:shrimp	animal_preys_on	crustacean:mysis_shrimp
arthropod:dog	animal_preys_on	animal:animals001
mammal:animals	animal_preys_on	reptile:rattlesnakes
insect:insects	animal_preys_on	insect:katydids
crustacean:shrimp	animal_such_as_fish	fish:redfish
animal:carnivores	animal_such_as_fish	fish:sharks
mammal:predators	animal_such_as_fish	fish:striped_bass
fish:billfish	animal_such_as_fish	fish:blue_marlin
animal:large_animals	animal_such_as_fish	fish:whale_sharks
invertebrate:marine_mammals	animal_such_as_fish	fish:otters
mammal:predators	animal_such_as_fish	fish:white_shark
fish:pelagics	animal_such_as_fish	fish:mackerel
mammal:predators	animal_such_as_fish	fish:shark
fish:pelagics	animal_such_as_fish	fish:sunfish
mammal:predators	animal_such_as_fish	fish:whales
animal:animals001	animal_such_as_fish	fish:rays
crustacean:shrimp	animal_such_as_fish	fish:catfish
fish:large_fish	animal_such_as_fish	fish:swordfish
animal:sea_animals	animal_such_as_fish	fish:sharks
invertebrate:marine_mammals	animal_such_as_fish	fish:whale
fish:billfish	animal_such_as_fish	fish:marlin
invertebrate:marine_mammals	animal_such_as_fish	fish:whales
mammal:predators	animal_such_as_fish	fish:tuna
fish:fishes	animal_such_as_fish	fish:tuna
mammal:predators	animal_such_as_fish	fish:steelhead
mammal:predators	animal_such_as_fish	fish:swordfish
mammal:predators	animal_such_as_fish	fish:walleye
fish:billfish	animal_such_as_fish	fish:pelagics
fish:pelagics	animal_such_as_fish	fish:marlin
animal:large_animals	animal_such_as_fish	fish:sharks
animal:vertebrates	animal_such_as_fish	fish:sharks
fish:sharks	animal_such_as_fish	fish:shark
crustacean:prawns	animal_such_as_fish	fish:shellfish
mammal:predators	animal_such_as_fish	fish:larger_fish
mammal:predators	animal_such_as_fish	fish:sunfish
fish:large_fish	animal_such_as_fish	fish:skate
fish:larger_fish	animal_such_as_fish	fish:sea_bass
fish:large_fish	animal_such_as_fish	fish:sharks
fish:large_fish	animal_such_as_fish	fish:wahoo
fish:pelagics	animal_such_as_fish	fish:billfish
invertebrate:marine_mammals	animal_such_as_fish	animal:seals001
fish:large_fish	animal_such_as_fish	fish:marlin
mammal:predators	animal_such_as_fish	fish:pike
crustacean:shrimp	animal_such_as_fish	fish:blue_catfish
mammal:predators	animal_such_as_fish	fish:jacks
insect:insects	animal_such_as_insect	insect:lady_beetles
invertebrate:bees	animal_such_as_insect	insect:pests
insect:beneficial_insects	animal_such_as_insect	insect:wasps
insect:pests	animal_such_as_insect	insect:cockroaches
insect:pests	animal_such_as_insect	insect:midges
insect:pests	animal_such_as_insect	insect:mosquitoes
insect:moths	animal_such_as_insect	arthropod:pollinators
insect:fungus_gnats	animal_such_as_insect	insect:insects
insect:beneficial_insects	animal_such_as_insect	insect:ladybugs
insect:insects	animal_such_as_insect	arthropod:mantis
insect:bed_bugs	animal_such_as_insect	insect:pests
insect:whiteflies	animal_such_as_insect	insect:insects
arthropod:arthropods	animal_such_as_insect	insect:mosquitoes
insect:flies	animal_such_as_insect	insect:ants
insect:flies	animal_such_as_insect	insect:mosquitoes
insect:pests	animal_such_as_insect	insect:thrips
insect:beneficial_insects	animal_such_as_insect	insect:lacewings
insect:beneficial_insects	animal_such_as_insect	insect:parasitic_wasps
insect:insects	animal_such_as_insect	animal:mantises
insect:leafhoppers	animal_such_as_insect	insect:insects
insect:pests	animal_such_as_insect	arthropod:yellow_jackets
animal:mantises	animal_such_as_insect	insect:insects
insect:jackets	animal_such_as_insect	insect:insects
insect:pests	animal_such_as_insect	insect:moth
insect:fly	animal_such_as_insect	insect:mosquito
insect:pests	animal_such_as_insect	insect:weevils
insect:pests	animal_such_as_insect	insect:aphids
insect:carpenter_ants	animal_such_as_insect	insect:insects
insect:ladybirds	animal_such_as_insect	insect:insects
mammal:small_animals	animal_such_as_insect	insect:insects
insect:small_insects	animal_such_as_insect	insect:moths
insect:lady_bugs	animal_such_as_insect	insect:insects
arthropod:pollinators	animal_such_as_insect	insect:wasps
insect:ants	animal_such_as_insect	insect:small_insects
insect:scale	animal_such_as_insect	insect:insects
animal:birds003	animal_such_as_insect	insect:pests
insect:insects	animal_such_as_insect	insect:honeybees
insect:silverfish	animal_such_as_insect	insect:pests
insect:blackflies	animal_such_as_insect	insect:insects
insect:insects	animal_such_as_insect	insect:ladybugs
insect:pests	animal_such_as_insect	insect:moths
arthropod:clams	animal_such_as_insect	arthropod:invertebrates
insect:pests	animal_such_as_insect	insect:gnats
insect:house_flies	animal_such_as_insect	insect:insects
insect:insects	animal_such_as_insect	insect:beetle_larvae
insect:insects	animal_such_as_insect	arthropod:invertebrates
insect:pests	animal_such_as_insect	insect:fruit_fly
mammal:predators	animal_such_as_insect	insect:lady_beetles
animal:animals001	animal_such_as_insect	insect:termites
insect:moth	animal_such_as_insect	insect:insects
insect:insects	animal_such_as_insect	insect:ladybirds
insect:insects	animal_such_as_insect	insect:moth
insect:leafhoppers	animal_such_as_insect	insect:pests
insect:moths	animal_such_as_insect	insect:pests
insect:insect_larvae	animal_such_as_insect	arthropod:invertebrates
insect:midges	animal_such_as_insect	insect:insects
animal:animals001	animal_such_as_insect	insect:ants
insect:flies	animal_such_as_insect	insect:insects
animal:mice001	animal_such_as_insect	insect:small_rodents
insect:leafminers	animal_such_as_insect	insect:pests
animal:social_insects	animal_such_as_insect	insect:ants
insect:pests	animal_such_as_insect	insect:leafhoppers
insect:insects	animal_such_as_insect	insect:cockroaches
insect:insects	animal_such_as_insect	insect:silverfish
insect:whitefly	animal_such_as_insect	insect:pests
animal:animals001	animal_such_as_insect	insect:ground_squirrels
insect:insects	animal_such_as_insect	insect:pests
insect:mosquito	animal_such_as_insect	insect:fly
animal:animals001	animal_such_as_insect	insect:flies
insect:insects	animal_such_as_insect	insect:flies
insect:pests	animal_such_as_insect	insect:trojans
arthropod:roaches	animal_such_as_insect	insect:insects
insect:ants	animal_such_as_insect	insect:insects
mammal:rats	animal_such_as_insect	insect:pests
invertebrate:nematodes	animal_such_as_insect	arthropod:invertebrates
arthropod:invertebrates	animal_such_as_insect	insect:aquatic_insects
animal:social_insects	animal_such_as_insect	insect:wasps
arthropod:invertebrates	animal_such_as_insect	insect:flies
arthropod:hornets	animal_such_as_insect	insect:insects
insect:pests	animal_such_as_insect	insect:termites
insect:borers	animal_such_as_insect	insect:pests
arthropod:invertebrates	animal_such_as_insect	insect:ants
insect:insects	animal_such_as_insect	insect:bed_bugs
insect:larva	animal_such_as_insect	insect:insects
insect:pests	animal_such_as_insect	insect:gypsy_moth
insect:aphids	animal_such_as_insect	insect:pests
insect:pests	animal_such_as_insect	insect:carpenter_ants
insect:wasps	animal_such_as_insect	arthropod:pollinators
insect:insects	animal_such_as_insect	insect:bumblebees
insect:insects	animal_such_as_insect	insect:spider_mites
insect:honey_bees	animal_such_as_insect	insect:insects
insect:insects	animal_such_as_insect	arthropod:no_see_ums
